,School ID,School Name,Administrative Body,Department Name,Municipality Name,Canton Name,Hamlet Name,Address,Who provided the data?
3545,21338.0,COLEGIO EL CAMINO,No Aplica,LA LIBERTAD,SANTA TECLA,,,DECIMA CALLE ORIENTE Y SEPTIMA AVENIDA SUR N° 6-2 COLONIA UTILA,Director(a)
3546,21339.0,LICEO DOCTOR SAMUEL HUMBERTO LEIVA JOYA,No Aplica,SAN SALVADOR,TONACATEPEQUE,,,"RESIDENCIAL ALTAVISTA POLIGONO 15 AV ""C"" NUMERO 359, 36O, 362, 406, 407, 408",Director(a)
3547,21340.0,COLEGIO EMAUS,No Aplica,LA LIBERTAD,COLÓN,LOURDES,,3AV. NORTE Y LA 4 CALLE ORIENTE,Director(a)
3548,21341.0,COLEGIO CRISTIANO LICENCIADO EDGARDO ARTURO CABRERA,No Aplica,CHALATENANGO,LA PALMA,,,BARRIO EL CENTRO,Director(a)
3549,21342.0,COLEGIO MIGUEL PEÑA,No Aplica,LA LIBERTAD,COLÓN,LOURDES,,"URBANIZACION NUEVO LOURDES AV. ""C"" SENDA 15 BIS N°60",Director(a)
3550,21343.0,CENTRO INFANTIL LA FLORIDA,No Aplica,SAN SALVADOR,SAN SALVADOR,,,"BOULEVARD LOS HEROES, PASAJE LAS PALMERAS #22",Director(a)
3551,21345.0,LICEO CRISTIANO REVERENDO DAVID PERAZA LEMUS,No Aplica,LA LIBERTAD,SAN PABLO TACACHICO,,,TERCERA CALLE PONIENTE PRIMERA AVENIDA NORTE BARRIO EL CALVARIO,Director(a)
3552,21346.0,JARDIN INFANTIL MUNDO LATINO,No Aplica,SAN SALVADOR,SAN SALVADOR,,,BOULEVARD HECTOR SILVA ROMERO N° 136 COLONIA MEDICA,Director(a)
3553,21347.0,COLEGIO PEQUEÑO JESUS,No Aplica,SAN SALVADOR,SAN SALVADOR,,,"COLONIA ATLACATL PASAJE ""A"" CASA #10",Director(a)
3554,21349.0,JARDIN DE NIÑOS LOS NIÑOS SON NIÑOS,No Aplica,SAN SALVADOR,SAN SALVADOR,,,URBANIZACION PADILLA CUELLAR CALLE LOS CEDROS NUMERO 56,Director(a)
3555,21350.0,COLEGIO FRAY JOSE PASCUAL GONZALEZ CORVERA,No Aplica,LA PAZ,SANTIAGO NONUALCO,,,"AVENIDA ALBERTO MASFERRER, NUMERO SETENTA Y CINCO, BARRIO EL CALVARIO",Director(a)
3556,21353.0,CENTRO DE ESTUDIOS DOCTOR EDUARDO RITTER AISLAN,No Aplica,SAN SALVADOR,ILOPANGO,,,"URBANIZACION NUEVOS HORIZONTES, CALLE 2, POLIGONO #7, LOCAL #44",Director(a)
3557,21354.0,COLEGIO INFANCIA FELIZ,No Aplica,LA LIBERTAD,SANTA TECLA,,,2° AVENIDA SUR # 3-8,Director(a)
3558,21355.0,COLEGIO ELIZABETH DE CALDERON SOL,No Aplica,LA LIBERTAD,COLÓN,LOURDES,,"URB. NUEVO LOURDES, CALLE B CASA 32 Y 33 BLOCK 36",Director(a)
3559,21356.0,COLEGIO HIGHLANDS,No Aplica,SAN SALVADOR,SAN SALVADOR,,,"CARRETERA A SANTA TECLA Y BOULEVARD MONSEÑOR ROMERO, PASAJE PRIVADO CONTIGUO A CASA PRESIDENCIAL",Director(a)
